country,pair_id,correct_capital,false_capital,completion_prompt,split,baseline_total_margin,baseline_avg_token_margin,baseline_prefers_correct,removed_blocks
Czech Republic,balanced_capital_czech_republic_hungary,Prague,Budapest,The capital of Czech Republic is,train,-0.011179924011230469,-0.011179924011230469,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Denmark,balanced_capital_denmark_ireland,Copenhagen,Dublin,The capital of Denmark is,test,2.865792751312256,2.865792751312256,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Dominican Republic,balanced_capital_jamaica_dominican_republic,Santo Domingo,Kingston,The capital of Dominican Republic is,train,3.627133798552677,11.87817181586288,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Ecuador,balanced_capital_ecuador_saudi_arabia,Quito,Riyadh,The capital of Ecuador is,test,0.7931534498929977,6.50071033090353,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Egypt,balanced_capital_turkey_egypt,Cairo,Ankara,The capital of Egypt is,train,4.685157775878906,4.685157775878906,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Ethiopia,balanced_capital_ethiopia_nigeria,Addis Ababa,Abuja,The capital of Ethiopia is,train,-0.8062816997748996,2.472363468498429,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Finland,balanced_capital_sweden_finland,Helsinki,Stockholm,The capital of Finland is,test,2.2060022354125977,2.2060022354125977,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
France,balanced_capital_france_germany,Paris,Berlin,The capital of France is,train,1.8545584678649902,1.8545584678649902,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Germany,balanced_capital_france_germany,Berlin,Paris,The capital of Germany is,train,3.2315335273742676,3.2315335273742676,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Greece,balanced_capital_greece_norway,Athens,Oslo,The capital of Greece is,test,11.22616171836853,11.22616171836853,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Hungary,balanced_capital_czech_republic_hungary,Budapest,Prague,The capital of Hungary is,train,4.156188011169434,4.156188011169434,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Iceland,balanced_capital_united_kingdom_iceland,Reykjavik,London,The capital of Iceland is,train,1.4369847150956048,7.117717667726538,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
India,balanced_capital_india_china,New Delhi,Beijing,The capital of India is,test,0.7437442243099213,4.796292468905449,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Indonesia,balanced_capital_indonesia_malaysia,Jakarta,Kuala Lumpur,The capital of Indonesia is,train,2.7840865408070385,-1.7747577053960413,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Iran,balanced_capital_iran_iraq,Tehran,Baghdad,The capital of Iran is,test,4.082050323486328,4.082050323486328,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Iraq,balanced_capital_iran_iraq,Baghdad,Tehran,The capital of Iraq is,test,2.1378960609436035,2.1378960609436035,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Ireland,balanced_capital_denmark_ireland,Dublin,Copenhagen,The capital of Ireland is,test,6.948211669921875,6.948211669921875,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Italy,balanced_capital_italy_spain,Rome,Madrid,The capital of Italy is,test,3.7316770553588867,3.7316770553588867,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Jamaica,balanced_capital_jamaica_dominican_republic,Kingston,Santo Domingo,The capital of Jamaica is,train,2.9449818171560764,-6.241563176363707,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Japan,balanced_capital_japan_south_korea,Tokyo,Seoul,The capital of Japan is,train,3.5953025817871094,3.5953025817871094,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Kazakhstan,balanced_capital_afghanistan_kazakhstan,Astana,Kabul,The capital of Kazakhstan is,train,0.9983815178275108,5.4961180202662945,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Kenya,balanced_capital_morocco_kenya,Nairobi,Rabat,The capital of Kenya is,train,3.4644966785854194,2.9789439014178547,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Laos,balanced_capital_laos_cuba,Vientiane,Havana,The capital of Laos is,test,2.7982624392025173,9.328384664996216,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Lebanon,balanced_capital_lebanon_pakistan,Beirut,Islamabad,The capital of Lebanon is,train,3.7864885330200195,3.7864885330200195,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Malaysia,balanced_capital_indonesia_malaysia,Kuala Lumpur,Jakarta,The capital of Malaysia is,train,1.2383152472320944,4.785427879658528,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Mexico,balanced_capital_mexico_brazil,Mexico City,Brasilia,The capital of Mexico is,test,7.355765178799629,3.6778825893998146,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Mongolia,balanced_capital_mongolia_nepal,Ulaanbaatar,Kathmandu,The capital of Mongolia is,train,2.1944385173273986,2.0521242022944235,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Morocco,balanced_capital_morocco_kenya,Rabat,Nairobi,The capital of Morocco is,train,0.9916123860748485,-1.3183232756564394,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Myanmar,balanced_capital_myanmar_cambodia,Naypyidaw,Phnom Penh,The capital of Myanmar is,test,-2.7574405111081433,-0.6893601277770358,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Nepal,balanced_capital_mongolia_nepal,Kathmandu,Ulaanbaatar,The capital of Nepal is,train,2.862636082860263,-0.5794913610261574,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Netherlands,balanced_capital_portugal_netherlands,Amsterdam,Lisbon,The capital of Netherlands is,test,4.789512634277344,4.789512634277344,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
New Zealand,balanced_capital_australia_new_zealand,Wellington,Canberra,The capital of New Zealand is,train,0.3820056915283203,0.3820056915283203,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Nigeria,balanced_capital_ethiopia_nigeria,Abuja,Addis Ababa,The capital of Nigeria is,train,4.378389454406715,-0.8897105290188847,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Norway,balanced_capital_greece_norway,Oslo,Athens,The capital of Norway is,test,0.4465618133544922,0.4465618133544922,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Pakistan,balanced_capital_lebanon_pakistan,Islamabad,Beirut,The capital of Pakistan is,train,6.87448787689209,6.87448787689209,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Panama,balanced_capital_costa_rica_panama,Panama City,San Jose,The capital of Panama is,train,4.631809592247009,2.3159047961235046,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Peru,balanced_capital_peru_colombia,Lima,Bogota,The capital of Peru is,train,1.3940449953079224,-4.101389825344086,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Philippines,balanced_capital_singapore_philippines,Manila,Singapore,The capital of Philippines is,train,3.0007381439208984,3.0007381439208984,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Poland,balanced_capital_switzerland_poland,Warsaw,Bern,The capital of Poland is,train,8.244532585144043,8.244532585144043,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Portugal,balanced_capital_portugal_netherlands,Lisbon,Amsterdam,The capital of Portugal is,test,2.2927350997924805,2.2927350997924805,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Russia,balanced_capital_russia_ukraine,Moscow,Kyiv,The capital of Russia is,train,4.187728680670261,-0.5429419092833996,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Saudi Arabia,balanced_capital_ecuador_saudi_arabia,Riyadh,Quito,The capital of Saudi Arabia is,test,7.928702354431152,0.2449336051940918,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Singapore,balanced_capital_singapore_philippines,Singapore,Manila,The capital of Singapore is,train,2.36163330078125,2.36163330078125,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
South Korea,balanced_capital_japan_south_korea,Seoul,Tokyo,The capital of South Korea is,train,1.2426080703735352,1.2426080703735352,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Spain,balanced_capital_italy_spain,Madrid,Rome,The capital of Spain is,test,1.9340696334838867,1.9340696334838867,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Sri Lanka,balanced_capital_bangladesh_sri_lanka,Sri Jayawardenepura Kotte,Dhaka,The capital of Sri Lanka is,train,-40.326978996396065,-1.7566974088549614,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Sweden,balanced_capital_sweden_finland,Stockholm,Helsinki,The capital of Sweden is,test,1.842787742614746,1.842787742614746,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Switzerland,balanced_capital_switzerland_poland,Bern,Warsaw,The capital of Switzerland is,train,-1.586822509765625,-1.586822509765625,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Thailand,balanced_capital_thailand_vietnam,Bangkok,Hanoi,The capital of Thailand is,train,2.195999282906996,-3.1391721903249468,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Turkey,balanced_capital_turkey_egypt,Ankara,Cairo,The capital of Turkey is,train,3.2082061767578125,3.2082061767578125,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Ukraine,balanced_capital_russia_ukraine,Kyiv,Moscow,The capital of Ukraine is,train,-1.4750208968762308,2.431886905687861,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
United Kingdom,balanced_capital_united_kingdom_iceland,London,Reykjavik,The capital of United Kingdom is,train,7.038070239825174,-2.5923994684708305,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
United States,balanced_capital_canada_united_states,"Washington, D.C.",Ottawa,The capital of United States is,train,1.1673540181363933,8.476834202912869,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Uruguay,balanced_capital_venezuela_uruguay,Montevideo,Caracas,The capital of Uruguay is,train,2.8220150601118803,1.4110075300559402,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Venezuela,balanced_capital_venezuela_uruguay,Caracas,Montevideo,The capital of Venezuela is,train,1.9023312195204198,0.9511656097602099,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Vietnam,balanced_capital_thailand_vietnam,Hanoi,Bangkok,The capital of Vietnam is,train,1.5972666985471733,6.201670177998798,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
