split,direction_type,alpha,countries,blocks,mean_observed_delta_avg_token_margin,mean_predicted_delta_avg_token_margin,mean_abs_observed_delta_avg_token_margin,mean_abs_predicted_delta_avg_token_margin,std_observed_delta_avg_token_margin,std_predicted_delta_avg_token_margin,mean_residual_observed_minus_predicted,mean_abs_residual,corr_predicted_observed,corr_squared_predicted_observed,regression_slope_observed_on_predicted
test,learned_probe,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
test,learned_probe,1.0,24,12,0.03264514763132962,0.0,0.037503462783267105,0.15536642404428372,0.03335383186134243,0.19248184598084575,0.03264514763132962,0.16734496827640313,-0.20317266307103413,0.041279131019375956,-0.03520636872719309
test,learned_probe,2.0,24,12,0.06571874946013292,0.0,0.07553426348078524,0.31073284808856744,0.06692520636941948,0.3849636919616915,0.06571874946013294,0.33457082870926724,-0.19813103291786976,0.03925590620510199,-0.03444470359956492
test,learned_probe,4.0,24,12,0.13312100915561834,0.0,0.15306759248100607,0.6214656961771349,0.13468054987750033,0.769927383923383,0.1331210091556184,0.6686098511045303,-0.18774896812014405,0.03524967503017887,-0.03284223264861891
test,random_direction,-4.0,24,12,0.03285079952953407,0.0,0.049143773058489736,0.5976625264932712,0.05634522987190182,0.8989538076101301,0.03285079952953409,0.5803013967786127,0.6148225456872672,0.3780067626853718,0.03853626001014845
test,random_direction,-2.0,24,12,0.01632082552566517,0.0,0.02429626926822891,0.2988312632466356,0.0278884073119907,0.44947690380506505,0.01632082552566518,0.2897703035040599,0.6186123630674123,0.3826812557398479,0.038382647480679426
test,random_direction,-1.0,24,12,0.008128740625359884,0.0,0.012077015688275067,0.1494156316233178,0.013875719709194378,0.22473845190253253,0.008128740625359891,0.14478969501974714,0.620290559717244,0.38476037847433187,0.03829775399818347
test,random_direction,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
test,random_direction,1.0,24,12,-0.008055748836442134,0.0,0.011927275732381901,0.1494156316233178,0.013741184500241853,0.22473845190253253,-0.008055748836442134,0.14460117692690094,0.6233663259528267,0.3885855763319258,0.03811449097224635
test,random_direction,2.0,24,12,-0.016026752842822137,0.0,0.02370246667289333,0.2988312632466356,0.02735616141656075,0.44947690380506505,-0.01602675284282214,0.2890143558280442,0.6246605837876893,0.3902008449379768,0.038018228781050316
test,random_direction,4.0,24,12,-0.03166540525757127,0.0,0.04677664322250361,0.5976625264932712,0.054228820391951545,0.8989538076101301,-0.03166540525757128,0.5772822771519562,0.6268947203066808,0.3929969903483916,0.037817027865482286
train,label_permutation,-4.0,52,26,0.024018730908511206,0.0,0.05530294000617061,0.5262892524210306,0.0679136781593386,0.6434317153827819,0.02401873090851122,0.5175386146612124,0.36801935089981846,0.13543824263672372,0.03884413397084434
train,label_permutation,-2.0,52,26,0.011891983461720483,0.0,0.0275300101261813,0.2631446262105153,0.03393363907727735,0.32171585769139094,0.011891983461720497,0.25877553855784097,0.3683795482185223,0.1357034915456826,0.03885558741928415
train,label_permutation,-1.0,52,26,0.005908446146529576,0.0,0.013729048233766224,0.13157231310525766,0.016959769090951614,0.16085792884569547,0.005908446146529577,0.12938542761424865,0.3687626414320297,0.1359858857159277,0.03887983199171949
train,label_permutation,0.0,52,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
train,label_permutation,1.0,52,26,-0.005815441630825136,0.0,0.013645204346056955,0.13157231310525766,0.016940775319900236,0.16085792884569547,-0.005815441630825134,0.12937114916927522,0.3701632624257331,0.13702084084966215,0.03898379585908377
train,label_permutation,2.0,52,26,-0.01152123074950717,0.0,0.02720872742525232,0.2631446262105153,0.033860169884367984,0.32171585769139094,-0.011521230749507163,0.2587206577385507,0.3710665804551886,0.13769040713070693,0.03905426839318776
train,label_permutation,4.0,52,26,-0.022532077952133113,0.0,0.05402921137600828,0.5262892524210306,0.06761797686540785,0.6434317153827819,-0.02253207795213313,0.5173241031633867,0.37336099802995437,0.1393984348499236,0.039236355193054274
train,learned_probe,-4.0,52,26,-0.11983146406661743,0.0,0.16649282818306743,0.4097788118972228,0.15653497990947846,0.6185477769541652,-0.11983146406661746,0.3888483952735936,0.45080817113407873,0.2032280071612528,0.11408536355750386
train,learned_probe,-2.0,52,26,-0.06052163410949268,0.0,0.08344826560071085,0.2048894059486114,0.07805929355637832,0.3092738884770826,-0.06052163410949269,0.19474560382655948,0.45160071243833316,0.20394320347481007,0.11398192312994318
train,learned_probe,-1.0,52,26,-0.030408341793598574,0.0,0.04176351449469424,0.1024447029743057,0.038965268406462326,0.1546369442385413,-0.030408341793598567,0.09745118987371247,0.4520236748581351,0.20432540263225304,0.11390049062113333
train,learned_probe,0.0,52,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
train,learned_probe,1.0,52,26,0.030695104259486974,0.0,0.041823306086729836,0.1024447029743057,0.038817223970829616,0.1546369442385413,0.030695104259486967,0.09760309609561525,0.45292614082004706,0.2051420890381411,0.11369427620953568
train,learned_probe,2.0,52,26,0.061667160967972014,0.0,0.08368674142245212,0.2048894059486114,0.07746593974264271,0.3092738884770826,0.061667160967972014,0.19535251316049457,0.4533927612976736,0.2055649959971292,0.11356437654463863
train,learned_probe,4.0,52,26,0.12440804622994649,0.0,0.16747132720277336,0.4097788118972228,0.15419431691460447,0.6185477769541652,0.12440804622994649,0.3912688861169486,0.4543623140450644,0.2064451124243857,0.1132654408539071
train,random_direction,-4.0,52,26,0.0340863719157647,0.0,0.045357753483806315,0.5456627203294864,0.046671232408440934,0.741273708656003,0.034086371915764704,0.542358592277994,0.4107117346033725,0.1686841289409111,0.025858765250560443
train,random_direction,-2.0,52,26,0.01704364208764183,0.0,0.022705718801510212,0.2728313601647432,0.023330419671554792,0.3706368543280015,0.017043642087641843,0.27122402320990163,0.4012387305976892,0.16099251893164504,0.025256711155447496
train,random_direction,-1.0,52,26,0.008516074225888074,0.0,0.011357781262439767,0.1364156800823716,0.01167033954103059,0.18531842716400074,0.00851607422588807,0.13561974120393336,0.39667944529224597,0.15735458231736396,0.024980698823929292
train,random_direction,0.0,52,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
train,random_direction,1.0,52,26,-0.008487921222948195,0.0,0.011359486887356345,0.1364156800823716,0.01169298347086734,0.18531842716400074,-0.008487921222948199,0.13564925626547697,0.3881447324638787,0.15065633333945597,0.024490656490343914
train,random_direction,2.0,52,26,-0.016934363806378385,0.0,0.02271095233416995,0.2728313601647432,0.023419476584289063,0.3706368543280015,-0.0169343638063784,0.2713289819582564,0.3841206236851003,0.14754865354023045,0.024271477180125855
train,random_direction,4.0,52,26,-0.0336343321342778,0.0,0.04546703664143373,0.5456627203294864,0.04700747187449499,0.741273708656003,-0.033634332134277814,0.542767295527655,0.37650908116727944,0.14175908820142902,0.023876120030686475
