statement,label,domain,pair_id,label_name,pc1,pc2,layer,pc1_explained_variance,pc2_explained_variance
The capital of Canada is Amman.,0,capital,capital_canada,false,1.5916246,-3.0739586,8,0.6196742653846741,0.11669307947158813
"The capital of United States is Washington, D.C..",1,capital,capital_united_states,true,5.2201586,23.043459,8,0.6196742653846741,0.11669307947158813
The capital of United States is Beirut.,0,capital,capital_united_states,false,0.57452357,-1.9430217,8,0.6196742653846741,0.11669307947158813
The capital of Mexico is Mexico City.,1,capital,capital_mexico,true,1.1398647,-1.9259734,8,0.6196742653846741,0.11669307947158813
The capital of Mexico is Islamabad.,0,capital,capital_mexico,false,-0.8587766,-7.493917,8,0.6196742653846741,0.11669307947158813
The capital of Brazil is Brasilia.,1,capital,capital_brazil,true,1.7240443,-0.30617478,8,0.6196742653846741,0.11669307947158813
The capital of Brazil is Kabul.,0,capital,capital_brazil,false,0.5914968,-6.262819,8,0.6196742653846741,0.11669307947158813
The capital of Argentina is Buenos Aires.,1,capital,capital_argentina,true,2.0845215,-1.3223389,8,0.6196742653846741,0.11669307947158813
The capital of Argentina is Astana.,0,capital,capital_argentina,false,2.1082783,-1.6116685,8,0.6196742653846741,0.11669307947158813
The capital of Chile is Santiago.,1,capital,capital_chile,true,0.40574396,-5.964935,8,0.6196742653846741,0.11669307947158813
The capital of Chile is Ulaanbaatar.,0,capital,capital_chile,false,7.0443006,24.031164,8,0.6196742653846741,0.11669307947158813
The capital of Peru is Lima.,1,capital,capital_peru,true,1.0614805,-5.0174727,8,0.6196742653846741,0.11669307947158813
The capital of Peru is Kathmandu.,0,capital,capital_peru,false,4.7186127,7.838741,8,0.6196742653846741,0.11669307947158813
The capital of Colombia is Bogota.,1,capital,capital_colombia,true,2.1793244,-0.58397585,8,0.6196742653846741,0.11669307947158813
The capital of Colombia is Dhaka.,0,capital,capital_colombia,false,2.4361255,-0.3798066,8,0.6196742653846741,0.11669307947158813
The capital of Venezuela is Caracas.,1,capital,capital_venezuela,true,2.6010551,-1.2041203,8,0.6196742653846741,0.11669307947158813
The capital of Venezuela is Sri Jayawardenepura Kotte.,0,capital,capital_venezuela,false,0.88396364,46.104637,8,0.6196742653846741,0.11669307947158813
The capital of Uruguay is Montevideo.,1,capital,capital_uruguay,true,2.506566,0.40400255,8,0.6196742653846741,0.11669307947158813
The capital of Uruguay is Naypyidaw.,0,capital,capital_uruguay,false,4.8775625,15.75326,8,0.6196742653846741,0.11669307947158813
The capital of Paraguay is Asuncion.,1,capital,capital_paraguay,true,7.6255713,19.628881,8,0.6196742653846741,0.11669307947158813
The capital of Paraguay is Phnom Penh.,0,capital,capital_paraguay,false,8.15625,25.909237,8,0.6196742653846741,0.11669307947158813
The capital of Bolivia is Sucre.,1,capital,capital_bolivia,true,2.9221404,0.3335165,8,0.6196742653846741,0.11669307947158813
The capital of Bolivia is Vientiane.,0,capital,capital_bolivia,false,5.544104,7.7270427,8,0.6196742653846741,0.11669307947158813
The capital of Ecuador is Quito.,1,capital,capital_ecuador,true,2.40779,0.6756248,8,0.6196742653846741,0.11669307947158813
The capital of Ecuador is Havana.,0,capital,capital_ecuador,false,0.90929645,-4.106735,8,0.6196742653846741,0.11669307947158813
The capital of Saudi Arabia is Riyadh.,1,capital,capital_saudi_arabia,true,0.870603,-3.1094453,8,0.6196742653846741,0.11669307947158813
The capital of Saudi Arabia is Kingston.,0,capital,capital_saudi_arabia,false,1.3710665,-3.51612,8,0.6196742653846741,0.11669307947158813
The capital of Iran is Tehran.,1,capital,capital_iran,true,-0.35760713,-5.851266,8,0.6196742653846741,0.11669307947158813
The capital of Iran is Santo Domingo.,0,capital,capital_iran,false,7.02895,23.511164,8,0.6196742653846741,0.11669307947158813
The capital of Iraq is Baghdad.,1,capital,capital_iraq,true,-0.18462552,-6.0459075,8,0.6196742653846741,0.11669307947158813
The capital of Iraq is San Jose.,0,capital,capital_iraq,false,0.6767048,-3.7323074,8,0.6196742653846741,0.11669307947158813
The capital of Israel is Jerusalem.,1,capital,capital_israel,true,-0.46561804,-6.852669,8,0.6196742653846741,0.11669307947158813
The capital of Israel is Panama City.,0,capital,capital_israel,false,2.4016879,0.8826779,8,0.6196742653846741,0.11669307947158813
The capital of Jordan is Amman.,1,capital,capital_jordan,true,0.062442403,-3.3314235,8,0.6196742653846741,0.11669307947158813
The capital of Jordan is Paris.,0,capital,capital_jordan,false,-1.1971315,-7.2233586,8,0.6196742653846741,0.11669307947158813
The capital of Lebanon is Beirut.,1,capital,capital_lebanon,true,-0.41866452,-5.794883,8,0.6196742653846741,0.11669307947158813
The capital of Lebanon is Berlin.,0,capital,capital_lebanon,false,-0.60886854,-6.1442337,8,0.6196742653846741,0.11669307947158813
The capital of Pakistan is Islamabad.,1,capital,capital_pakistan,true,-0.6634209,-5.2419624,8,0.6196742653846741,0.11669307947158813
The capital of Pakistan is Rome.,0,capital,capital_pakistan,false,-0.6822158,-4.332749,8,0.6196742653846741,0.11669307947158813
The capital of Afghanistan is Kabul.,1,capital,capital_afghanistan,true,1.0489215,-6.533308,8,0.6196742653846741,0.11669307947158813
The capital of Afghanistan is Madrid.,0,capital,capital_afghanistan,false,0.44610378,-7.088015,8,0.6196742653846741,0.11669307947158813
The capital of Kazakhstan is Astana.,1,capital,capital_kazakhstan,true,3.1727986,1.618318,8,0.6196742653846741,0.11669307947158813
The capital of Kazakhstan is Lisbon.,0,capital,capital_kazakhstan,false,1.8205138,-2.8252633,8,0.6196742653846741,0.11669307947158813
The capital of Mongolia is Ulaanbaatar.,1,capital,capital_mongolia,true,8.3385,27.697517,8,0.6196742653846741,0.11669307947158813
The capital of Mongolia is Amsterdam.,0,capital,capital_mongolia,false,1.89189,-3.2416482,8,0.6196742653846741,0.11669307947158813
The capital of Nepal is Kathmandu.,1,capital,capital_nepal,true,6.0581794,13.919874,8,0.6196742653846741,0.11669307947158813
The capital of Nepal is Brussels.,0,capital,capital_nepal,false,2.061777,-0.51987016,8,0.6196742653846741,0.11669307947158813
The capital of Bangladesh is Dhaka.,1,capital,capital_bangladesh,true,2.8621197,2.9787664,8,0.6196742653846741,0.11669307947158813
The capital of Bangladesh is Vienna.,0,capital,capital_bangladesh,false,1.2644867,-2.028472,8,0.6196742653846741,0.11669307947158813
The capital of Sri Lanka is Sri Jayawardenepura Kotte.,1,capital,capital_sri_lanka,true,-266.50406,10.782198,8,0.6196742653846741,0.11669307947158813
The capital of Sri Lanka is Bern.,0,capital,capital_sri_lanka,false,1.519162,-1.2824907,8,0.6196742653846741,0.11669307947158813
The capital of Myanmar is Naypyidaw.,1,capital,capital_myanmar,true,6.4334,19.078457,8,0.6196742653846741,0.11669307947158813
The capital of Myanmar is Warsaw.,0,capital,capital_myanmar,false,1.7378429,-4.2884965,8,0.6196742653846741,0.11669307947158813
The capital of Cambodia is Phnom Penh.,1,capital,capital_cambodia,true,6.1805797,17.845194,8,0.6196742653846741,0.11669307947158813
The capital of Cambodia is Prague.,0,capital,capital_cambodia,false,1.7745289,-1.6988931,8,0.6196742653846741,0.11669307947158813
The capital of Laos is Vientiane.,1,capital,capital_laos,true,5.5796494,8.787669,8,0.6196742653846741,0.11669307947158813
The capital of Laos is Budapest.,0,capital,capital_laos,false,2.3822343,-2.3850646,8,0.6196742653846741,0.11669307947158813
The capital of Cuba is Havana.,1,capital,capital_cuba,true,1.3777404,-3.2612631,8,0.6196742653846741,0.11669307947158813
The capital of Cuba is Athens.,0,capital,capital_cuba,false,0.8196618,-4.1838007,8,0.6196742653846741,0.11669307947158813
The capital of Jamaica is Kingston.,1,capital,capital_jamaica,true,1.3982368,-5.6320124,8,0.6196742653846741,0.11669307947158813
The capital of Jamaica is Oslo.,0,capital,capital_jamaica,false,1.1927707,-5.3358493,8,0.6196742653846741,0.11669307947158813
The capital of Dominican Republic is Santo Domingo.,1,capital,capital_dominican_republic,true,8.929697,32.608665,8,0.6196742653846741,0.11669307947158813
The capital of Dominican Republic is Stockholm.,0,capital,capital_dominican_republic,false,2.1940196,0.7372684,8,0.6196742653846741,0.11669307947158813
The capital of Costa Rica is San Jose.,1,capital,capital_costa_rica,true,3.2305582,4.14865,8,0.6196742653846741,0.11669307947158813
The capital of Costa Rica is Helsinki.,0,capital,capital_costa_rica,false,2.399798,0.110219866,8,0.6196742653846741,0.11669307947158813
The capital of Panama is Panama City.,1,capital,capital_panama,true,3.0178144,3.013585,8,0.6196742653846741,0.11669307947158813
The capital of Panama is Copenhagen.,0,capital,capital_panama,false,1.0092123,-3.5673602,8,0.6196742653846741,0.11669307947158813
